,JPM,rsi,MACD,Golden,Money Flow
2011-03-10,43.64,0,0,-1,0
2011-03-11,43.85,0,0,0,0
2011-03-14,43.42,0,0,0,0
2011-03-15,42.76,0,0,0,0
2011-03-16,42.0,0,0,0,0
2011-03-17,42.71,0,0,0,0
2011-03-18,43.85,0,0,0,0
2011-03-21,43.74,0,0,0,0
2011-03-22,43.59,0,0,0,0
2011-03-23,43.71,0,0,0,0
2011-03-24,43.84,0,0,0,0
2011-03-25,43.96,0,-1,0,0
2011-03-28,44.06,0,0,0,0
2011-03-29,44.11,0,0,0,0
2011-03-30,44.53,0,0,0,0
2011-03-31,44.19,0,0,0,0
2011-04-01,44.43,0,0,0,0
2011-04-04,44.66,0,0,0,0
2011-04-05,44.89,0,0,1,0
2011-04-06,45.91,0,0,1,0
2011-04-07,45.68,0,0,0,-1
2011-04-08,45.14,-1,0,0,0
2011-04-11,45.16,0,0,0,0
2011-04-12,44.95,-1,0,0,0
2011-04-13,44.57,0,0,0,0
2011-04-14,43.34,0,1,0,0
2011-04-15,43.26,0,0,0,0
2011-04-18,42.37,0,0,0,0
2011-04-19,43.03,0,0,0,0
2011-04-20,42.95,0,0,0,0
2011-04-21,43.06,0,0,0,0
2011-04-25,42.99,0,0,-1,0
2011-04-26,43.49,0,0,0,0
2011-04-27,43.85,0,0,0,0
2011-04-28,44.19,0,0,0,0
2011-04-29,43.98,0,-1,0,0
2011-05-02,43.54,0,0,0,0
2011-05-03,44.26,0,-1,0,0
2011-05-04,43.85,0,0,0,0
2011-05-05,43.53,0,0,0,0
2011-05-06,43.41,0,0,0,0
2011-05-09,43.33,0,1,0,0
2011-05-10,43.52,0,0,0,0
2011-05-11,42.63,0,1,0,0
2011-05-12,42.49,0,0,0,0
2011-05-13,41.59,0,0,0,0
2011-05-16,41.33,0,0,0,0
2011-05-17,42.22,1,0,0,0
2011-05-18,42.48,0,0,-1,0
2011-05-19,42.41,0,0,0,1
2011-05-20,41.57,0,0,0,0
2011-05-23,41.01,0,0,0,0
2011-05-24,40.81,0,0,0,0
2011-05-25,40.74,0,0,0,1
2011-05-26,40.91,0,0,0,0
2011-05-27,41.24,1,0,0,0
2011-05-31,41.67,0,0,0,0
2011-06-01,40.25,0,0,0,0
2011-06-02,40.1,0,0,0,0
2011-06-03,40.06,0,0,0,0
2011-06-06,39.06,0,0,0,0
2011-06-07,39.25,0,0,0,0
2011-06-08,38.93,0,0,0,0
2011-06-09,39.5,0,0,0,0
2011-06-10,39.56,1,0,0,0
2011-06-13,40.16,0,0,0,0
2011-06-14,40.1,0,-1,0,0
2011-06-15,39.21,0,0,0,0
2011-06-16,38.9,0,0,0,0
2011-06-17,39.32,0,0,0,0
2011-06-20,39.01,0,0,0,0
2011-06-21,39.43,1,0,0,0
2011-06-22,39.22,0,0,0,0
2011-06-23,38.62,0,0,0,0
2011-06-24,38.06,0,1,0,0
2011-06-27,38.44,0,0,0,0
2011-06-28,38.11,0,1,0,0
2011-06-29,38.98,0,-1,0,0
2011-06-30,39.46,0,0,0,0
2011-07-01,40.32,0,0,0,0
2011-07-05,39.79,0,0,0,0
2011-07-06,39.33,0,0,0,0
2011-07-07,40.07,0,0,0,0
2011-07-08,39.51,0,0,0,0
2011-07-11,38.24,0,0,0,0
2011-07-12,38.2,0,0,0,0
2011-07-13,38.42,0,0,-1,0
2011-07-14,39.13,0,0,0,0
2011-07-15,38.77,0,0,0,0
2011-07-18,38.62,0,0,0,0
2011-07-19,39.17,0,0,0,0
2011-07-20,39.72,0,0,0,0
2011-07-21,41.01,0,0,0,0
2011-07-22,40.91,0,0,0,0
2011-07-25,40.43,0,0,0,0
2011-07-26,40.18,0,0,0,0
2011-07-27,39.44,0,0,0,0
2011-07-28,39.45,0,0,0,0
2011-07-29,39.22,0,0,0,0
2011-08-01,39.21,0,0,1,0
2011-08-02,38.63,0,1,0,0
2011-08-03,38.69,0,0,0,0
2011-08-04,36.77,0,0,0,0
2011-08-05,36.46,0,0,0,0
2011-08-08,33.03,0,0,0,0
2011-08-09,35.3,1,0,-1,0
2011-08-10,33.33,0,0,-1,0
2011-08-11,35.58,1,0,0,0
2011-08-12,34.82,0,0,0,0
2011-08-15,35.76,0,0,0,1
2011-08-16,34.94,0,0,0,0
2011-08-17,35.46,0,0,0,0
2011-08-18,34.12,0,0,0,0
2011-08-19,33.31,0,0,0,0
2011-08-22,32.4,0,0,0,0
2011-08-23,33.73,0,0,0,0
2011-08-24,34.74,0,0,0,0
2011-08-25,34.64,0,-1,0,0
